,X Wind,Y Wind,Total TTE,Mean TTE,Completed Mission,Out of Bounds,Out of Time,Tipped,Reward
0,-10,-10,20148.340544363688,33.469004226517754,False,True,True,False,-273828.0
1,-10,-8,12805.389029809745,21.271410348521172,False,True,True,False,-266421.7
2,-10,-6,7226.5601568120455,12.004252752179477,False,False,True,False,-259153.52
3,-10,-4,98550.07195417973,159.46613584818726,False,True,True,False,-327119.88
4,-10,-2,99212.27674141907,160.53766463012795,False,True,True,False,-327781.5
5,-10,0,99181.29971761769,160.48753999614513,False,True,True,False,-327750.0
6,-10,2,99212.27674141907,160.53766463012795,False,True,True,False,-327781.5
7,-10,4,98550.07195417973,159.46613584818726,False,True,True,False,-327119.88
8,-10,6,7226.5601568120455,12.004252752179477,False,False,True,False,-259153.52
9,-10,8,12805.389029809745,21.271410348521172,False,True,True,False,-266421.7
10,-10,10,20148.340544363688,33.469004226517754,False,True,True,False,-273828.0
11,-8,-10,5091.266332294263,8.457253043678177,False,True,True,False,-258546.53
12,-8,-8,3168.184699340876,5.262765281297136,False,False,True,False,-253975.67
13,-8,-6,1778.5096176097156,2.9543349129729495,False,False,True,False,-252389.22
14,-8,-4,6264.895582125792,10.120994478393849,False,False,True,False,-231889.94
15,-8,-2,6258.590711042878,10.110808903138736,False,False,True,False,-231886.5
16,-8,0,6232.729190432467,10.069029386805278,False,False,True,False,-231855.2
17,-8,2,6258.590711042878,10.110808903138736,False,False,True,False,-231886.5
18,-8,4,6264.895582125792,10.120994478393849,False,False,True,False,-231889.94
19,-8,6,1778.5096176097156,2.9543349129729495,False,False,True,False,-252389.22
20,-8,8,3168.184699340876,5.262765281297136,False,False,True,False,-253975.67
21,-8,10,5091.266332294263,8.457253043678177,False,True,True,False,-258546.53
22,-6,-10,4768.897476368876,7.921756605263913,False,True,True,False,-258217.0
23,-6,-8,2955.4405567620433,4.909369695618012,False,False,True,False,-253604.9
24,-6,-6,1659.1922401576962,2.7561332892984987,False,False,True,False,-252121.25
25,-6,-4,2600.90865213728,3.830498751306745,True,False,True,False,-177797.98
26,-6,-2,2552.0913020016815,3.769706502218141,True,False,True,False,-177745.6
27,-6,0,2527.4798502675258,3.7388755181472275,True,False,True,False,-177720.31
28,-6,2,2552.0913020016815,3.769706502218141,True,False,True,False,-177745.6
29,-6,4,2600.90865213728,3.830498751306745,True,False,True,False,-177797.98
30,-6,6,1659.1922401576962,2.7561332892984987,False,False,True,False,-252121.25
31,-6,8,2955.4405567620433,4.909369695618012,False,False,True,False,-253604.9
32,-6,10,4768.897476368876,7.921756605263913,False,True,True,False,-258217.0
33,-4,-10,4759.488012435499,7.906126266504151,False,True,True,False,-258206.25
34,-4,-8,2942.3160841004646,4.887568246014061,False,False,True,False,-253545.03
35,-4,-6,1651.9892271740778,2.7441681514519565,False,False,True,False,-252111.78
36,-4,-4,529.9628644273394,4.952923966610649,True,False,False,False,574269.94
37,-4,-2,484.8508726587953,4.753439928027405,True,False,False,False,574324.9
38,-4,0,486.3267260787543,4.863267260787543,True,False,False,False,574324.9
39,-4,2,484.8508726587953,4.753439928027405,True,False,False,False,574324.9
40,-4,4,529.9628644273394,4.952923966610649,True,False,False,False,574269.94
41,-4,6,1651.9892271740778,2.7441681514519565,False,False,True,False,-252111.78
42,-4,8,2942.3160841004646,4.887568246014061,False,False,True,False,-253545.03
43,-4,10,4759.488012435499,7.906126266504151,False,True,True,False,-258206.25
44,-2,-10,4766.282498382773,7.9174127880112515,False,True,True,False,-258212.83
45,-2,-8,2940.807722690597,4.88506266227674,False,False,True,False,-253523.12
46,-2,-6,1650.8222541090295,2.742229657988421,False,False,True,False,-252110.1
47,-2,-4,717.9895126993139,8.44693544352134,True,False,False,False,574014.56
48,-2,-2,618.876341871588,7.280898139665742,True,False,False,False,574113.9
49,-2,0,585.8102067342843,6.973931032551003,True,False,False,False,574152.75
50,-2,2,618.876341871588,7.280898139665742,True,False,False,False,574113.9
51,-2,4,717.9895126993139,8.44693544352134,True,False,False,False,574014.56
52,-2,6,1650.8222541090295,2.742229657988421,False,False,True,False,-252110.1
53,-2,8,2940.807722690597,4.88506266227674,False,False,True,False,-253523.12
54,-2,10,4766.282498382773,7.9174127880112515,False,True,True,False,-258212.83
55,0,-10,4770.560602125419,7.924519272633586,False,True,True,False,-258217.1
56,0,-8,2940.4436592737775,4.884457905770394,False,False,True,False,-253522.7
57,0,-6,1650.8761386522053,2.7423191671963543,False,False,True,False,-252110.1
58,0,-4,627.0696513560422,6.3340368823842645,True,False,False,False,574154.6
59,0,-2,616.5363322889048,7.33971824153458,True,False,False,False,574117.0
60,0,0,590.381119867845,7.113025540576445,True,False,False,False,574149.4
61,0,2,616.5363322889048,7.33971824153458,True,False,False,False,574117.0
62,0,4,627.0696513560422,6.3340368823842645,True,False,False,False,574154.6
63,0,6,1650.8761386522053,2.7423191671963543,False,False,True,False,-252110.1
64,0,8,2940.4436592737775,4.884457905770394,False,False,True,False,-253522.7
65,0,10,4770.560602125419,7.924519272633586,False,True,True,False,-258217.1
66,2,-10,4766.282498382773,7.9174127880112515,False,True,True,False,-258212.83
67,2,-8,2940.807722690597,4.88506266227674,False,False,True,False,-253523.12
68,2,-6,1650.8222541090295,2.742229657988421,False,False,True,False,-252110.1
69,2,-4,717.9895126993139,8.44693544352134,True,False,False,False,574014.56
70,2,-2,618.876341871588,7.280898139665742,True,False,False,False,574113.9
71,2,0,585.8102067342843,6.973931032551003,True,False,False,False,574152.75
72,2,2,618.876341871588,7.280898139665742,True,False,False,False,574113.9
73,2,4,717.9895126993139,8.44693544352134,True,False,False,False,574014.56
74,2,6,1650.8222541090295,2.742229657988421,False,False,True,False,-252110.1
75,2,8,2940.807722690597,4.88506266227674,False,False,True,False,-253523.12
76,2,10,4766.282498382773,7.9174127880112515,False,True,True,False,-258212.83
77,4,-10,4759.488012435499,7.906126266504151,False,True,True,False,-258206.25
78,4,-8,2942.3160841004646,4.887568246014061,False,False,True,False,-253545.03
79,4,-6,1651.9892271740778,2.7441681514519565,False,False,True,False,-252111.78
80,4,-4,529.9628644273394,4.952923966610649,True,False,False,False,574269.94
81,4,-2,484.8508726587953,4.753439928027405,True,False,False,False,574324.9
82,4,0,486.3267260787543,4.863267260787543,True,False,False,False,574324.9
83,4,2,484.8508726587953,4.753439928027405,True,False,False,False,574324.9
84,4,4,529.9628644273394,4.952923966610649,True,False,False,False,574269.94
85,4,6,1651.9892271740778,2.7441681514519565,False,False,True,False,-252111.78
86,4,8,2942.3160841004646,4.887568246014061,False,False,True,False,-253545.03
87,4,10,4759.488012435499,7.906126266504151,False,True,True,False,-258206.25
88,6,-10,4768.897476368876,7.921756605263913,False,True,True,False,-258217.0
89,6,-8,2955.4405567620433,4.909369695618012,False,False,True,False,-253604.9
90,6,-6,1659.1922401576962,2.7561332892984987,False,False,True,False,-252121.25
91,6,-4,2600.90865213728,3.830498751306745,True,False,True,False,-177797.98
92,6,-2,2552.0913020016815,3.769706502218141,True,False,True,False,-177745.6
93,6,0,2527.4798502675258,3.7388755181472275,True,False,True,False,-177720.31
94,6,2,2552.0913020016815,3.769706502218141,True,False,True,False,-177745.6
95,6,4,2600.90865213728,3.830498751306745,True,False,True,False,-177797.98
96,6,6,1659.1922401576962,2.7561332892984987,False,False,True,False,-252121.25
97,6,8,2955.4405567620433,4.909369695618012,False,False,True,False,-253604.9
98,6,10,4768.897476368876,7.921756605263913,False,True,True,False,-258217.0
99,8,-10,5091.266332294263,8.457253043678177,False,True,True,False,-258546.53
100,8,-8,3168.184699340876,5.262765281297136,False,False,True,False,-253975.67
101,8,-6,1778.5096176097156,2.9543349129729495,False,False,True,False,-252389.22
102,8,-4,6264.895582125792,10.120994478393849,False,False,True,False,-231889.94
103,8,-2,6258.590711042878,10.110808903138736,False,False,True,False,-231886.5
104,8,0,6232.729190432467,10.069029386805278,False,False,True,False,-231855.2
105,8,2,6258.590711042878,10.110808903138736,False,False,True,False,-231886.5
106,8,4,6264.895582125792,10.120994478393849,False,False,True,False,-231889.94
107,8,6,1778.5096176097156,2.9543349129729495,False,False,True,False,-252389.22
108,8,8,3168.184699340876,5.262765281297136,False,False,True,False,-253975.67
109,8,10,5091.266332294263,8.457253043678177,False,True,True,False,-258546.53
110,10,-10,20148.340544363688,33.469004226517754,False,True,True,False,-273828.0
111,10,-8,12805.389029809745,21.271410348521172,False,True,True,False,-266421.7
112,10,-6,7226.5601568120455,12.004252752179477,False,False,True,False,-259153.52
113,10,-4,98550.07195417973,159.46613584818726,False,True,True,False,-327119.88
114,10,-2,99212.27674141907,160.53766463012795,False,True,True,False,-327781.5
115,10,0,99181.29971761769,160.48753999614513,False,True,True,False,-327750.0
116,10,2,99212.27674141907,160.53766463012795,False,True,True,False,-327781.5
117,10,4,98550.07195417973,159.46613584818726,False,True,True,False,-327119.88
118,10,6,7226.5601568120455,12.004252752179477,False,False,True,False,-259153.52
119,10,8,12805.389029809745,21.271410348521172,False,True,True,False,-266421.7
120,10,10,20148.340544363688,33.469004226517754,False,True,True,False,-273828.0
